Год,з/п в руб.,Курс $,з/п в $
2001,123021,1183,103.99070160608622
2002,189232,1580,119.76708860759494
2003,250686,1930,129.88911917098446
2004,347519,2156,161.1869202226345
2005,463741,2170,213.70552995391705
2006,582166,2152,270.5232342007435
2007,694045,2140,324.3200934579439
2008,868169,2150,403.7995348837209
2009,981584,3077,319.00682482937924
2010,1217313,3000,405.771
2011,1899782,11340,167.52927689594355
2012,3676083,8570,428.94784130688447
2013,5061000,9510,532.1766561514196
2014,6052367,11850,510.74827004219406
2015,6714967,19608,342.4605773153815
2016,722.7,1.952,370.235655737705
2017,822.8,1.958,420.2247191011236
2018,1125,1.972,570.4868154158215
2019,1218,2.158,564.4114921223355
2020,1474,2.41,611.6182572614108
2021,1675,2.57,651.7509727626459
2022,1477,3.77,391.7771883289125
